bookID,title,authors,average_rating,isbn,language_code,# num_pages,ratings_count,text_reviews_count,prices
2570,The Lion and the Jewel,Wole Soyinka,3.8,199110832,eng,65,1103,75,28.66
2581,Ready for Anything: 52 Productivity Principles for Getting Things Done,David    Allen,3.83,143034545,eng,165,3541,175,246.59
2586,Sun Tzu and the Art of Business: Six Strategic Principles for Managers,Sun Tzu-Mark McNeilly,3.84,195137892,eng,272,120,13,220.69
2595,Marketing Warfare,Al Ries-Jack Trout,4.1,71460829,eng,216,870,53,269.76
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.95,316346624,eng,301,589855,11431,208.86
2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,3.99,60521996,eng,286,28568,693,80.89
2619,Great Expectations,Charles Dickens-David Trotter-Charlotte Mitchell,3.76,141439564,eng,512,13291,646,202.36
2623,Great Expectations,Charles Dickens-Marisa Sestino,3.76,192833596,eng,505,523790,10337,66.66
2626,Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,Charles Dickens-Edgar Rosenberg,3.76,393960692,eng,776,563,39,85.63
2646,Luther and Erasmus: Free Will and Salvation (Library of Christian Classics),Erasmus-Martin Luther-Philip S. Watson-E. Gordon Rupp,3.81,664241581,eng,364,107,13,45.2
2654,To Kill a Mockingbird,Harper Lee,4.27,60935464,eng,323,10005,877,278.17
2655,To Kill a Mockingbird,Harper Lee-Sissy Spacek,4.27,60888695,eng,11,653,176,140.61
2660,To Kill a Mockingbird (To Kill A Mockingbird #1),Harper Lee,4.27,044508376X,eng,281,6334,805,75.06
2661,To Kill a Mockingbird,Harper Lee,4.27,61205699,en-US,323,250,32,66.13
2666,The Bonfire of the Vanities,Tom Wolfe,3.84,553381342,eng,690,57301,2105,36.51
2673,The Wealthy Barber: Everyone's Common-Sense Guide to Becoming Financially Independent,David H. Chilton,4.02,761501665,eng,199,61,4,284.83
2674,The Wealthy Barber: The Common Sense Guide to Successful Financial Planning,David Chilton,4.02,773762167,eng,197,6837,304,121.28
2677,A Modest Proposal and Other Satirical Works,Jonathan Swift,4.05,486287599,eng,64,13312,137,51.23
2678,Gulliver's Travels / A Modest Proposal,Jonathan Swift-Jesse Gale,3.79,1416500391,eng,416,2001,52,279.5
2680,Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C.-Xavier de C.-Joseph Rowe,4.75,1556434952,eng,144,4,0,48.87
2685,Collected Travel Writings: The Continent: A Little Tour in France / Italian Hours / Other Travels,Henry James-Richard Howard,3.7,940450771,eng,868,27,1,194.04
2686,The Bostonians,Henry James-R.D. Gooder,3.59,192834428,eng,504,84,12,273.16
2687,Novels 1896–1899: The Other House / The Spoils of Poynton / What Maisie Knew / The Awkward Age,Henry James-Myra Jehlen,4.25,1931082308,eng,1035,24,5,177.75
2688,Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James-Leo Bersani,4.68,193108288X,eng,713,25,3,210.17
